ticker,nasdaq,marketCap
CIFS,y,13020841.0
CIG,y,3126574080.0
CIGI,y,2438417664.0
CIH,y,190248144.0
CII,y,680352000.0
CIIC,y,325055200.0
CIK,y,150115056.0
CIM,y,1995234432.0
CINF,y,13136946176.0
CINR,y,204196208.0
CIO,y,437657792.0
CIR,y,645622080.0
CIT,y,1942369152.0
CIVB,y,235176448.0
CIX,y,172324608.0
CIZN,y,122423848.0
CJJD,y,50868812.0
CKH,y,644155136.0
CKPT,y,126635696.0
CKX,y,18167138.0
CL,y,65368174592.0
CLAR,y,391284960.0
CLB,y,1045825920.0
CLBK,y,1392310784.0
CLBS,y,37947124.0
CLCT,y,375446336.0
CLDB,y,55236840.0
CLDR,y,3323148800.0
CLDT,y,311397184.0
CLDX,y,432542816.0
CLF,y,2187605248.0
CLFD,y,259292992.0
CLGN,y,61372208.0
CLGX,y,5402382848.0
CLH,y,3574754304.0
CLI,y,1216442496.0
CLIR,y,60898344.0
CLLS,y,765881856.0
CLM,y,836592128.0
CLMT,y,204246800.0
CLNC,y,833893568.0
CLNE,y,594740992.0
CLNY,y,1050620544.0
CLPR,y,120249224.0
CLPS,y,39634076.0
CLPT,y,62034400.0
CLR,y,6272915968.0
CLRB,y,33596640.0
CLRO,y,39961680.0
CLS,y,1079237760.0
CLSD,y,95587184.0
CLSK,y,159486016.0
CLSN,y,38202308.0
CLUB,y,13072400.0
CLVS,y,476910656.0
CLW,y,602384896.0
CLWT,y,9309509.0
CLX,y,29908066304.0
CLXT,y,185500240.0
CM,y,31615393792.0
CMA,y,5564341248.0
CMBM,y,302814368.0
CMC,y,2605229568.0
CMCL,y,270741152.0
CMCM,y,332943776.0
CMCO,y,843512256.0
CMCSA,y,195560357888.0
CMCT,y,153167040.0
CMCTP,y,746039040.0
CMD,y,2201719040.0
